"species","lon","lat"
"Scinax ruber",-75.581874,-0.837482
"Scinax ruber",-59.481012,5.176737
"Scinax ruber",-73.753316,6.96174
"Scinax ruber",-77.096719,0.642989
"Scinax ruber",-73.166028,4.813556
"Scinax ruber",-76.656948,7.625776
"Scinax ruber",-78.765959,-3.832924
"Scinax ruber",-71.391647,-12.789378
"Scinax ruber",-73.661806,-7.449528
"Scinax ruber",-65.972553,-10.861706
"Scinax ruber",-73.560699,2.860341
"Scinax ruber",-67.711762,-15.843211
"Scinax ruber",-77.41108,-0.563957
"Scinax ruber",-76.524737,-0.465412
"Scinax ruber",-67.672129,-10.238757
"Scinax ruber",-75.201253,8.550492
"Scinax ruber",-70.94375,-0.040333
"Scinax ruber",-75.688313,7.079433
"Scinax ruber",-75.684331,7.121673
"Scinax ruber",-73.573444,6.577417
"Scinax ruber",-73.496769,7.349662
"Scinax ruber",-60.103554,-3.048256
"Scinax ruber",-73.20071,-4.333775
"Scinax ruber",-55.205673,5.77095
"Scinax ruber",-73.369248,7.23251
"Scinax ruber",-72.411694,5.169556
"Scinax ruber",-75.645451,8.270705
"Scinax ruber",-75.665397,8.309199
"Scinax ruber",-75.626842,8.326871
"Scinax ruber",-75.754072,7.070531
"Scinax ruber",-75.981528,2.20805
"Scinax ruber",-68.52456,5.628765
"Scinax ruber",-60.021731,-3.119027
"Scinax ruber",-74.721276,5.416755
"Scinax ruber",-71.665753,4.827118
"Scinax ruber",-66.130556,-3.662222
"Scinax ruber",-66.088056,-3.766389
"Scinax ruber",-75.64137,2.35442
"Scinax ruber",-73.914889,2.217611
"Scinax ruber",-74.130917,6.435222
"Scinax ruber",-74.011059,6.479682
"Scinax ruber",-74.08307,6.423699
"Scinax ruber",-74.2215,6.700209
"Scinax ruber",-60.044285,-3.262876
"Scinax ruber",-76.41283,-0.484129
"Scinax ruber",-73.499178,7.455924
"Scinax ruber",-52.52352,4.882317
"Scinax ruber",-73.748653,7.217833
"Scinax ruber",-73.817228,7.210082
"Scinax ruber",-76.435552,-0.528961
"Scinax ruber",-75.652922,5.46256
"Scinax ruber",-70.151444,-3.952095
"Scinax ruber",-70.65071,-12.441284
